TimeWindow, Flight, RiskCategory, O281, O282, O283, O284, O285, O286, O287, O288
240, Flight1, SELECTEE, 0.3333333335852629, 0.35211614260342394, 0.31455049970520954, 1.1845698027937442E-8, 4.016285481570847E-9, 2.6061567839619765E-9, 1.8246493340503623E-9, 4.0155305975412605E-9
240, Flight1, UNKNOWN, 0.9999999997912887, 1.0744021628399706E-10, 1.066655357573169E-10, 6.722189638130953E-11, 3.7270554238396904E-11, 3.1917207543434134E-11, 2.314176603815456E-11, 3.727052712924004E-11
240, Flight1, LOWRISK1, 0.9999999987652847, 3.789086522329201E-10, 3.7889332589173006E-10, 2.2951824632018324E-10, 1.2894415848338983E-10, 1.1106890252312681E-10, 8.066921115092405E-11, 1.2892954195706252E-10
240, Flight1, LOWRISK2, 0.9999999957872883, 1.1612013228867158E-9, 1.1608161357085463E-9, 7.048929651326452E-10, 3.9775724480826234E-10, 3.4313735887947353E-10, 2.4942552421578067E-10, 3.976976495256075E-10
240, Flight1, LOWRISK3, 0.9999999928592832, 1.9299793623627083E-9, 1.9292374107986186E-9, 1.1724563472695456E-9, 6.622209285810725E-10, 5.714518853059546E-10, 4.1546968860854746E-10, 6.621176482614862E-10
240, Flight1, LOWRISK4, 0.9999999913958834, 2.3141388647985057E-9, 2.3132466289234515E-9, 1.406165357696887E-9, 7.944228260035638E-10, 6.855829942790982E-10, 4.984775088380895E-10, 7.942992037928736E-10
240, Flight2, SELECTEE, 0.7499999992208418, 0.1405260077123548, 0.10947398632305261, 3.3863931999951603E-9, 1.1471495196322608E-9, 7.442864474216585E-10, 5.21099498885842E-10, 1.1470386416382241E-9
240, Flight2, UNKNOWN, 0.9999999998157204, 1.0088234259134127E-10, 1.0002926742444984E-10, 6.348559037456244E-11, 3.512573918957422E-11, 3.006144501490882E-11, 2.1785876891327998E-11, 3.512588396186408E-11
240, Flight2, LOWRISK1, 0.9999999989625611, 3.270443009615164E-10, 3.2704710426383024E-10, 1.980392238803345E-10, 1.1115632410437194E-10, 9.571742795256031E-11, 6.950649916729969E-11, 1.1114444280800946E-10
240, Flight2, LOWRISK2, 0.9999999978690884, 6.143937232575339E-10, 6.142837991935968E-10, 3.725669781881903E-10, 2.0980857248873204E-10, 1.8086864934553977E-10, 1.3142550479024883E-10, 2.09781092670388E-10
240, Flight2, LOWRISK3, 0.9999999928594677, 1.9299104153994657E-9, 1.929181735288043E-9, 1.172433222490501E-9, 6.622098569335148E-10, 5.714421372472272E-10, 4.154640316653744E-10, 6.621073813308998E-10
240, Flight2, LOWRISK4, 0.9999999952993179, 1.2893210024168844E-9, 1.2888844851583867E-9, 7.828143828682706E-10, 4.418307765973175E-10, 3.811862111690215E-10, 2.7709732805267275E-10, 4.417644659203789E-10
240, Flight3, SELECTEE, 1.0106886919718655E-9, 0.2798192726051854, 0.23879717104897955, 0.3887419894146852, 0.04713109386717299, 2.2218404351792284E-9, 2.241817389586376E-9, 0.04551046779184696
240, Flight3, UNKNOWN, 0.9999999998631702, 8.823945532961532E-11, 8.713223127115304E-11, 5.627391254222864E-11, 3.0929281776803764E-11, 2.6424909671789078E-11, 1.9116789208260053E-11, 3.0929672951349613E-11
240, Flight3, LOWRISK1, 0.9999999987179132, 3.9135565272450643E-10, 3.9133461531528425E-10, 2.3708550847877666E-10, 1.3321828413603096E-10, 1.1475615144163232E-10, 8.335028775745258E-11, 1.332027853646992E-10
240, Flight3, LOWRISK2, 0.999999998084349, 5.661779662214739E-10, 5.661212387261721E-10, 3.363838888290326E-10, 1.8695463392800937E-10, 1.5956219127731715E-10, 1.1573612445437194E-10, 1.8693150551589402E-10
240, Flight3, LOWRISK3, 0.999999995297718, 1.289877688537564E-9, 1.2893710529989991E-9, 7.830597260713982E-10, 4.419313418519334E-10, 3.812568833967813E-10, 2.7714135023087506E-10, 4.4186060517853605E-10
240, Flight3, LOWRISK4, 0.9999999952990448, 1.289422719002135E-9, 1.2889693073940138E-9, 7.828489747203869E-10, 4.418465813295036E-10, 3.8119973508349907E-10, 2.771051494734989E-10, 4.4177923449938306E-10
240, Flight4, SELECTEE, 3.3695538971161876E-10, 0.07485847823579457, 0.06646864173442639, 0.7165807442262779, 0.07766073583779531, 7.422622648532997E-10, 7.447746118427468E-10, 0.06443139834393001
240, Flight4, UNKNOWN, 0.9999999994290151, 2.0398915689014965E-10, 2.0402438012173165E-10, 1.2385748231029089E-10, 6.927295049097056E-11, 5.956041214266117E-11, 4.322905152461878E-11, 6.926801756794509E-11
240, Flight4, LOWRISK1, 0.9999999979630446, 6.84127068893328E-10, 6.843375255747198E-10, 3.2794062482092894E-10, 1.6207563820198766E-10, 1.2741132515174423E-10, 9.121963089485442E-11, 1.6206009510948882E-10
240, Flight4, LOWRISK2, 0.785714290744972, 0.12246457893496401, 0.09182112565875572, 2.3721370910815627E-9, 8.029400825524884E-10, 5.208785187741167E-10, 3.646956478558085E-10, 8.028733623446894E-10
240, Flight4, LOWRISK3, 0.9999999822389267, 6.684356448288651E-9, 6.7473239363775776E-9, 1.919742338727645E-9, 8.0992980476465E-10, 5.809709734880799E-10, 4.109945748193511E-10, 8.099717288726974E-10
240, Flight4, LOWRISK4, 0.9999999952989019, 1.2894703591276295E-9, 1.2890093168797144E-9, 7.828750543622738E-10, 4.4185651232032467E-10, 3.812057582821342E-10, 2.77108998976953E-10, 4.4178865270467667E-10
240, Flight5, SELECTEE, 3.748785125107738E-10, 0.2785392557338982, 0.18553709096826992, 0.4705521416293547, 0.03409020340888977, 8.34638589190079E-10, 8.437743187713243E-10, 0.031281306408512406
240, Flight5, UNKNOWN, 0.9999999998766494, 8.46598224265783E-11, 8.353523816699524E-11, 5.422494235491949E-11, 2.97169426372843E-11, 2.5372615923477977E-11, 1.8340077705165902E-11, 2.971737647703048E-11
240, Flight5, LOWRISK1, 0.9999999992291431, 2.568361319870188E-10, 2.568658699353641E-10, 1.5557441668372462E-10, 8.716943541717996E-11, 7.501172351075376E-11, 5.4454564950828405E-11, 8.716133220414097E-11
240, Flight5, LOWRISK2, 0.9999999972629869, 7.879434395721625E-10, 7.878072846935938E-10, 4.662062703916475E-10, 2.586257182638699E-10, 2.2029728052054542E-10, 1.5975817064655478E-10, 2.58591548107297E-10
240, Flight5, LOWRISK3, 0.9999999928564928, 1.930937641978464E-9, 1.930063102859263E-9, 1.1729179191445155E-9, 6.624018534192105E-10, 5.715688005658181E-10, 4.1554425743688507E-10, 6.622902974593114E-10
240, Flight5, LOWRISK4, 0.999999993904686, 1.6555321072767833E-9, 1.654903242400188E-9, 1.0055115286136699E-9, 5.677863303907966E-10, 4.899239221028537E-10, 3.5617553339816114E-10, 5.676978431331976E-10
240, Flight6, SELECTEE, 0.12499999980633726, 0.5128663215615683, 0.36213367070966823, 3.963887932884823E-9, 1.3412653420459853E-9, 8.6984212570547E-10, 6.088600749026194E-10, 1.3407873317780493E-9
240, Flight6, UNKNOWN, 0.999999999725619, 1.2501776719531214E-10, 1.2458133103021217E-10, 7.732097678626288E-11, 4.301672157799695E-11, 3.688501161660121E-11, 2.6759478583760334E-11, 4.301605881973401E-11
240, Flight6, LOWRISK1, 0.9999999988097127, 3.6721969607800073E-10, 3.6720952279277976E-10, 2.2243572322466182E-10, 1.2494144197253965E-10, 1.0761317904959343E-10, 7.815689194560779E-11, 1.2492746973675083E-10
240, Flight6, LOWRISK2, 0.9999999981846549, 5.314921866861082E-10, 5.314157975688247E-10, 3.221923976089767E-10, 1.8132721752599148E-10, 1.56282852468018E-10, 1.135469302194317E-10, 1.8130419642493377E-10
240, Flight6, LOWRISK3, 0.999999989200011, 2.8906128975997434E-9, 2.8894404555052448E-9, 1.7568959531423578E-9, 9.927920026368372E-10, 8.568161722552343E-10, 6.23014333609907E-10, 9.926336718983118E-10
240, Flight6, LOWRISK4, 0.9999999855432429, 3.8503665350345755E-9, 3.848889904369843E-9, 2.340936062383257E-9, 1.3232093641196083E-9, 1.142073037869734E-9, 8.304956152449919E-10, 1.3230032687538737E-9
240, Flight7, SELECTEE, 0.33333333312736024, 0.3716675546272883, 0.2949991002741145, 5.935696226865109E-9, 2.0105701023050584E-9, 1.304196607189625E-9, 9.129611241472572E-10, 2.010029178673843E-9
240, Flight7, UNKNOWN, 0.9999999998399375, 9.44193071784125E-11, 9.342410067208652E-11, 5.980111825286568E-11, 3.299335838096449E-11, 2.8214621929325295E-11, 2.0432901272702208E-11, 3.299364588805957E-11
240, Flight7, LOWRISK1, 0.9999999988906128, 3.4595918260141E-10, 3.459557515480876E-10, 2.0952082353291978E-10, 1.1764375298400117E-10, 1.0131587767980221E-10, 7.357746976618734E-11, 1.1763088463458857E-10
240, Flight7, LOWRISK2, 0.9999999957872883, 1.1612013228867158E-9, 1.1608161357085463E-9, 7.048929651326452E-10, 3.9775724480826234E-10, 3.4313735887947353E-10, 2.4942552421578067E-10, 3.976976495256075E-10
240, Flight7, LOWRISK3, 0.9999999952991531, 1.2893866710544242E-9, 1.288939067760726E-9, 7.828291450387462E-10, 4.4183905105308256E-10, 3.811952423780436E-10, 2.7710230932975195E-10, 4.4177209659309066E-10
240, Flight7, LOWRISK4, 0.9999999939049798, 1.6554351599864175E-9, 1.6548230994138588E-9, 1.0054565854239923E-9, 5.677652157510496E-10, 4.899111839640531E-10, 3.561674532636056E-10, 5.67677885249564E-10
240, Flight8, SELECTEE, 3.3882715024268986E-10, 0.03839232512931516, 0.0352094398837524, 0.5007084594204615, 0.2536301057859823, 7.429544717942587E-10, 7.4338177642462E-10, 0.1720596681575418
240, Flight8, UNKNOWN, 0.9399887209316427, 0.04191016167891018, 0.01810111709152065, 2.4344375465516693E-10, 8.270254225303145E-11, 5.371235046699147E-11, 3.7603224697473734E-11, 8.268121973604703E-11
240, Flight8, LOWRISK1, 0.6666666654727615, 0.2756807184656133, 0.05765261526907371, 4.852813129757975E-10, 1.6423254811295193E-10, 1.0651807560593528E-10, 7.455553798252942E-11, 1.6418034773958234E-10
240, Flight8, LOWRISK2, 0.5000000040053324, 0.3032733954882972, 0.19672659461985648, 2.969367780599009E-9, 1.0054624586316873E-9, 6.521900272575892E-10, 4.5652251875300113E-10, 1.0051879032052437E-9
240, Flight8, LOWRISK3, 0.6666666549634728, 0.17025550679874515, 0.16307778962694666, 2.394137660436203E-8, 8.017415127213655E-9, 5.195631193991076E-9, 3.639252046807808E-9, 8.01937696124257E-9
240, Flight8, LOWRISK4, 0.9999999952983096, 1.2896935066387264E-9, 1.289125019484776E-9, 7.830175658323405E-10, 4.418988042282351E-10, 3.8122666818188756E-10, 2.7712144577882833E-10, 4.41824008305865E-10
240, Flight9, SELECTEE, 2.5380574057840677E-9, 0.5696715329702656, 0.4303284454411445, 1.2077918390771837E-8, 2.615916287775804E-9, 1.1091005397437173E-9, 8.340849937407771E-10, 2.615728712396255E-9
240, Flight9, UNKNOWN, 0.9999999995701395, 1.665292215430964E-10, 1.6650388160246385E-10, 1.015723293731675E-10, 5.67071284004679E-11, 4.871101871144173E-11, 3.534901494970306E-11, 5.670433755417351E-11
240, Flight9, LOWRISK1, 0.999999999249666, 2.5141835908364516E-10, 2.514501898435011E-10, 1.5231155698703457E-10, 8.532813531057474E-11, 7.342221498171868E-11, 5.3299714492913395E-11, 8.532041279419477E-11
240, Flight9, LOWRISK2, 0.9999999983512498, 4.877226423430326E-10, 4.87661683588445E-10, 2.955991615217717E-10, 1.662934157607765E-10, 1.4330651639728174E-10, 1.0411059883657308E-10, 1.662726079401199E-10
240, Flight9, LOWRISK3, 0.999999993904222, 1.6556906736550433E-9, 1.6550386580051865E-9, 1.0055874933421222E-9, 5.678170492721944E-10, 4.899449101381265E-10, 3.561887724782576E-10, 5.677270708603745E-10
