TimeWindow, Flight, RiskCategory, O65, O66, O67, O68, O69, O70, O71, O72
240, Flight1, SELECTEE, 0.12500001246661765, 0.45621731981502744, 0.4187826530606416, 4.786477272834737E-9, 1.7288152307086184E-9, 4.81214394222065E-9, 1.730097045799198E-9, 1.7265346886132642E-9
240, Flight1, UNKNOWN, 0.9999999999171684, 5.024239077558258E-11, 5.015515359910621E-11, 2.9450124700289245E-11, 1.6628946832308225E-11, 2.9467315909495634E-11, 1.6633362709767883E-11, 1.6609441900124076E-11
240, Flight1, LOWRISK1, 0.9999999994241315, 1.6719689583631375E-10, 1.6678342567129013E-10, 9.916682456778244E-11, 5.6665714877979995E-11, 9.915831978033374E-11, 5.6663442232783906E-11, 5.658881332729278E-11
240, Flight1, LOWRISK2, 0.999999997974324, 5.104494551548412E-10, 5.087300215257834E-10, 3.0455835415829223E-10, 1.7468948588130914E-10, 3.044932721575749E-10, 1.7466921637805958E-10, 1.7444116090922268E-10
240, Flight1, LOWRISK3, 0.9999999965521646, 8.46736102939036E-10, 8.44045249003472E-10, 5.059614529343577E-10, 2.906049145439616E-10, 5.060163072742713E-10, 2.9061715149065205E-10, 2.9020907815247826E-10
240, Flight1, LOWRISK4, 0.9999999958433259, 1.014212779511649E-9, 1.0111723472666216E-9, 6.062922533423545E-10, 3.484210730512731E-10, 6.064903836248307E-10, 3.4847724957929147E-10, 3.479631418477538E-10
240, Flight2, SELECTEE, 0.43750001738593663, 0.3116941615425617, 0.2508058169622913, 1.372862829405362E-9, 4.955375098564516E-10, 1.3765907860833543E-9, 4.957951521768047E-10, 4.947790291040336E-10
240, Flight2, UNKNOWN, 0.9999999999279227, 4.777247554312909E-11, 4.766048869800435E-11, 2.792586023824277E-11, 1.5715233987561976E-11, 2.794181413217218E-11, 1.5720089995537896E-11, 1.5696458932659875E-11
240, Flight2, LOWRISK1, 0.9999999995207055, 1.4426294673834285E-10, 1.4396008251317437E-10, 8.549325321959301E-11, 4.883365959100022E-11, 8.549628848934045E-11, 4.883373414140058E-11, 4.8769527156208336E-11
240, Flight2, LOWRISK2, 0.9999999989871879, 2.707511454496515E-10, 2.6989206662360317E-10, 1.6105826449291312E-10, 9.219562697564461E-11, 1.610200183988768E-10, 9.218507589583433E-11, 9.206488317129823E-11
240, Flight2, LOWRISK3, 0.9999999965527144, 8.465778495134879E-10, 8.439147943618604E-10, 5.058704089189282E-10, 2.905682892860528E-10, 5.059470040797011E-10, 2.905871731616238E-10, 2.901751274396297E-10
240, Flight2, LOWRISK4, 0.999999997737752, 5.663759631449035E-10, 5.645125929311088E-10, 3.380426963285558E-10, 1.93974274069326E-10, 3.380255684939551E-10, 1.9396781261060155E-10, 1.9370401529118105E-10
