Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:53, -7, 0, 7, 0, 9, 111, 27, 16, 2, 1
Flight2, DOMESTIC, 04:42, -3, 0, 3, 0, 4, 122, 26, 12, 7, 2
Flight3, DOMESTIC, 04:27, -7, 0, 7, 0, 8, 64, 37, 22, 1, 5
Flight4, DOMESTIC, 04:36, -3, 0, 3, 0, 4, 125, 32, 7, 7, 8
Flight5, DOMESTIC, 04:11, -3, 0, 3, 0, 9, 149, 38, 11, 5, 6
Flight6, DOMESTIC, 04:44, -5, 0, 5, 0, 8, 99, 31, 22, 4, 2
Flight7, DOMESTIC, 04:08, -8, 0, 8, 0, 5, 87, 39, 16, 6, 9
Flight8, DOMESTIC, 04:43, -7, 0, 7, 0, 1, 59, 43, 11, 8, 8
Flight9, DOMESTIC, 04:42, -7, 0, 7, 0, 7, 137, 29, 15, 5, 7
Flight10, DOMESTIC, 04:17, -4, 0, 4, 0, 5, 79, 34, 23, 8, 8
Flight11, DOMESTIC, 04:29, -2, 0, 2, 0, 2, 148, 37, 16, 2, 5
Flight12, DOMESTIC, 04:45, -8, 0, 8, 0, 5, 134, 37, 17, 4, 2
Flight13, DOMESTIC, 04:47, -9, 0, 9, 0, 8, 149, 27, 20, 4, 6
Flight14, DOMESTIC, 04:28, -7, 0, 7, 0, 7, 60, 26, 7, 7, 4
Flight15, DOMESTIC, 04:31, -5, 0, 5, 0, 9, 122, 43, 9, 8, 6
Flight16, DOMESTIC, 04:53, -6, 0, 6, 0, 5, 148, 47, 6, 2, 2
Flight17, DOMESTIC, 04:33, -8, 0, 8, 0, 1, 137, 33, 12, 6, 8
Flight18, DOMESTIC, 04:39, -4, 0, 4, 0, 5, 66, 46, 7, 8, 7
Flight19, DOMESTIC, 04:21, -3, 0, 3, 0, 4, 55, 30, 22, 2, 1
Flight20, DOMESTIC, 04:46, -3, 0, 3, 0, 4, 139, 38, 8, 9, 2
Flight21, DOMESTIC, 04:13, -3, 0, 3, 0, 3, 99, 25, 13, 9, 4
Flight22, DOMESTIC, 04:00, -2, 0, 2, 0, 8, 99, 38, 22, 1, 9
Flight23, DOMESTIC, 04:33, -10, 0, 10, 0, 9, 115, 28, 19, 8, 2
Flight24, DOMESTIC, 04:38, -6, 0, 6, 0, 2, 58, 49, 15, 2, 3
Flight25, DOMESTIC, 04:24, -9, 0, 9, 0, 6, 138, 39, 7, 9, 6
Flight26, DOMESTIC, 04:33, -8, 0, 8, 0, 7, 53, 30, 19, 4, 5
Flight27, DOMESTIC, 04:21, -8, 0, 8, 0, 8, 123, 40, 7, 8, 5
Flight28, DOMESTIC, 04:07, -1, 0, 1, 0, 7, 100, 42, 7, 7, 1
Flight29, DOMESTIC, 04:57, -6, 0, 6, 0, 9, 115, 34, 21, 9, 8
Flight30, DOMESTIC, 04:48, -10, 0, 10, 0, 6, 80, 40, 18, 6, 4
