Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:53, -4, 0, 4, 0, 9, 65, 38, 15, 1, 8
Flight2, DOMESTIC, 04:25, -2, 0, 2, 0, 5, 56, 33, 24, 1, 9
Flight3, DOMESTIC, 04:12, -2, 0, 2, 0, 7, 149, 49, 21, 1, 4
Flight4, DOMESTIC, 04:07, -9, 0, 9, 0, 8, 116, 42, 11, 1, 8
Flight5, DOMESTIC, 04:27, -4, 0, 4, 0, 6, 126, 47, 13, 8, 4
Flight6, DOMESTIC, 04:59, -3, 0, 3, 0, 5, 108, 38, 21, 2, 7
Flight7, DOMESTIC, 04:43, -6, 0, 6, 0, 7, 96, 43, 20, 9, 7
Flight8, DOMESTIC, 04:37, -7, 0, 7, 0, 2, 130, 46, 23, 7, 7
Flight9, DOMESTIC, 04:20, -6, 0, 6, 0, 5, 57, 48, 8, 8, 1
Flight10, DOMESTIC, 04:18, -3, 0, 3, 0, 8, 72, 46, 20, 1, 2
Flight11, DOMESTIC, 04:57, -9, 0, 9, 0, 3, 66, 49, 22, 7, 5
Flight12, DOMESTIC, 04:56, -5, 0, 5, 0, 6, 70, 27, 15, 2, 7
Flight13, DOMESTIC, 04:55, -8, 0, 8, 0, 9, 58, 49, 8, 5, 5
Flight14, DOMESTIC, 04:15, -4, 0, 4, 0, 8, 145, 40, 16, 6, 5
Flight15, DOMESTIC, 04:51, -7, 0, 7, 0, 8, 98, 28, 15, 4, 2
Flight16, DOMESTIC, 04:37, -5, 0, 5, 0, 7, 63, 44, 19, 4, 3
Flight17, DOMESTIC, 04:19, -8, 0, 8, 0, 9, 96, 39, 8, 7, 4
Flight18, DOMESTIC, 04:48, -3, 0, 3, 0, 7, 72, 27, 24, 8, 2
Flight19, DOMESTIC, 04:53, -6, 0, 6, 0, 5, 105, 38, 6, 2, 3
Flight20, DOMESTIC, 04:16, -9, 0, 9, 0, 8, 104, 40, 20, 6, 7
Flight21, DOMESTIC, 04:51, -8, 0, 8, 0, 8, 61, 32, 21, 1, 5
Flight22, DOMESTIC, 04:00, -5, 0, 5, 0, 1, 115, 27, 5, 1, 2
Flight23, DOMESTIC, 04:29, -9, 0, 9, 0, 5, 61, 33, 17, 1, 5
Flight24, DOMESTIC, 04:12, -4, 0, 4, 0, 7, 89, 43, 11, 4, 3
Flight25, DOMESTIC, 04:09, -3, 0, 3, 0, 2, 112, 37, 13, 3, 9
Flight26, DOMESTIC, 04:29, -1, 0, 1, 0, 3, 148, 27, 24, 9, 2
Flight27, DOMESTIC, 04:21, -3, 0, 3, 0, 4, 98, 31, 13, 6, 5
Flight28, DOMESTIC, 04:05, -8, 0, 8, 0, 1, 143, 25, 6, 4, 5
Flight29, DOMESTIC, 04:53, -6, 0, 6, 0, 7, 145, 40, 9, 1, 1
Flight30, DOMESTIC, 04:18, -8, 0, 8, 0, 2, 91, 28, 20, 3, 3
