Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:53, -9, 0, 9, 0, 4, 55, 29, 15, 6, 9
Flight2, DOMESTIC, 04:39, -7, 0, 7, 0, 2, 102, 47, 5, 4, 6
Flight3, DOMESTIC, 04:03, -3, 0, 3, 0, 6, 74, 49, 5, 7, 9
Flight4, DOMESTIC, 04:20, -8, 0, 8, 0, 1, 80, 46, 11, 3, 3
Flight5, DOMESTIC, 04:01, -6, 0, 6, 0, 2, 101, 48, 17, 8, 1
Flight6, DOMESTIC, 04:20, -9, 0, 9, 0, 4, 92, 30, 5, 1, 3
Flight7, DOMESTIC, 04:27, -7, 0, 7, 0, 5, 136, 36, 8, 6, 4
Flight8, DOMESTIC, 04:37, -3, 0, 3, 0, 4, 124, 47, 8, 1, 7
Flight9, DOMESTIC, 04:54, -8, 0, 8, 0, 8, 114, 25, 14, 1, 2
Flight10, DOMESTIC, 04:41, -9, 0, 9, 0, 7, 143, 32, 19, 9, 9
Flight11, DOMESTIC, 04:21, -3, 0, 3, 0, 6, 77, 33, 7, 3, 3
Flight12, DOMESTIC, 04:23, -2, 0, 2, 0, 3, 67, 40, 12, 9, 4
Flight13, DOMESTIC, 04:54, -3, 0, 3, 0, 1, 120, 38, 16, 4, 7
Flight14, DOMESTIC, 04:02, -8, 0, 8, 0, 7, 70, 26, 9, 4, 5
Flight15, DOMESTIC, 04:56, -9, 0, 9, 0, 1, 100, 36, 8, 2, 5
Flight16, DOMESTIC, 04:32, -7, 0, 7, 0, 2, 50, 40, 14, 9, 7
Flight17, DOMESTIC, 04:31, -7, 0, 7, 0, 5, 64, 26, 8, 7, 7
Flight18, DOMESTIC, 04:20, -1, 0, 1, 0, 8, 141, 47, 23, 6, 9
Flight19, DOMESTIC, 04:03, -7, 0, 7, 0, 8, 59, 37, 20, 1, 6
Flight20, DOMESTIC, 04:54, -1, 0, 1, 0, 6, 111, 26, 11, 2, 1
Flight21, DOMESTIC, 04:38, -4, 0, 4, 0, 4, 62, 29, 14, 4, 1
Flight22, DOMESTIC, 04:58, -7, 0, 7, 0, 7, 50, 31, 5, 4, 5
Flight23, DOMESTIC, 04:06, -3, 0, 3, 0, 9, 75, 33, 5, 1, 5
Flight24, DOMESTIC, 04:55, -6, 0, 6, 0, 4, 72, 32, 21, 5, 8
Flight25, DOMESTIC, 04:51, -8, 0, 8, 0, 2, 90, 42, 16, 6, 1
Flight26, DOMESTIC, 04:09, -3, 0, 3, 0, 1, 87, 45, 20, 8, 4
Flight27, DOMESTIC, 04:32, -10, 0, 10, 0, 7, 101, 32, 9, 3, 9
Flight28, DOMESTIC, 04:48, -9, 0, 9, 0, 4, 60, 30, 23, 9, 2
Flight29, DOMESTIC, 04:20, -1, 0, 1, 0, 1, 112, 32, 21, 9, 8
Flight30, DOMESTIC, 04:14, -7, 0, 7, 0, 4, 86, 42, 11, 6, 6
