Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:54, -4, 0, 4, 0, 2, 65, 34, 16, 6, 8
Flight2, DOMESTIC, 04:24, -6, 0, 6, 0, 9, 100, 39, 15, 5, 9
Flight3, DOMESTIC, 04:52, -6, 0, 6, 0, 1, 68, 33, 6, 8, 9
Flight4, DOMESTIC, 04:29, -5, 0, 5, 0, 3, 50, 30, 7, 1, 9
Flight5, DOMESTIC, 04:24, -5, 0, 5, 0, 4, 105, 38, 10, 9, 4
Flight6, DOMESTIC, 04:49, -9, 0, 9, 0, 5, 98, 28, 23, 9, 9
Flight7, DOMESTIC, 04:53, -9, 0, 9, 0, 5, 119, 32, 7, 7, 3
Flight8, DOMESTIC, 04:29, -7, 0, 7, 0, 5, 69, 46, 9, 4, 7
Flight9, DOMESTIC, 04:16, -8, 0, 8, 0, 9, 116, 43, 18, 1, 6
Flight10, DOMESTIC, 04:19, -8, 0, 8, 0, 8, 111, 48, 18, 5, 1
Flight11, DOMESTIC, 04:14, -5, 0, 5, 0, 4, 75, 35, 10, 5, 5
Flight12, DOMESTIC, 04:53, -10, 0, 10, 0, 1, 88, 42, 17, 6, 5
Flight13, DOMESTIC, 04:16, -9, 0, 9, 0, 6, 99, 46, 19, 8, 6
Flight14, DOMESTIC, 04:53, -9, 0, 9, 0, 2, 64, 31, 6, 3, 3
Flight15, DOMESTIC, 04:36, -9, 0, 9, 0, 1, 53, 38, 17, 7, 6
Flight16, DOMESTIC, 04:52, -4, 0, 4, 0, 6, 110, 34, 14, 2, 9
Flight17, DOMESTIC, 04:07, -8, 0, 8, 0, 2, 86, 45, 11, 7, 2
Flight18, DOMESTIC, 04:45, -10, 0, 10, 0, 5, 78, 31, 22, 6, 1
Flight19, DOMESTIC, 04:18, -5, 0, 5, 0, 9, 111, 33, 23, 3, 8
Flight20, DOMESTIC, 04:47, -8, 0, 8, 0, 8, 139, 43, 18, 1, 7
Flight21, DOMESTIC, 04:19, -3, 0, 3, 0, 6, 128, 46, 16, 2, 6
Flight22, DOMESTIC, 04:06, -4, 0, 4, 0, 7, 117, 29, 15, 9, 8
Flight23, DOMESTIC, 04:25, -10, 0, 10, 0, 7, 147, 39, 17, 7, 1
Flight24, DOMESTIC, 04:14, -7, 0, 7, 0, 7, 61, 34, 21, 7, 8
Flight25, DOMESTIC, 04:54, -9, 0, 9, 0, 9, 71, 29, 7, 9, 2
Flight26, DOMESTIC, 04:17, -10, 0, 10, 0, 6, 85, 44, 19, 5, 4
Flight27, DOMESTIC, 04:56, -4, 0, 4, 0, 9, 57, 44, 9, 2, 4
Flight28, DOMESTIC, 04:36, -8, 0, 8, 0, 7, 141, 28, 22, 6, 7
Flight29, DOMESTIC, 04:52, -5, 0, 5, 0, 2, 96, 46, 11, 7, 3
Flight30, DOMESTIC, 04:27, -3, 0, 3, 0, 3, 76, 44, 22, 3, 1
