Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:55, -3, 0, 3, 0, 6, 64, 44, 14, 6, 3
Flight2, DOMESTIC, 04:02, -3, 0, 3, 0, 2, 58, 48, 13, 1, 1
Flight3, DOMESTIC, 04:53, -1, 0, 1, 0, 1, 83, 42, 11, 1, 8
Flight4, DOMESTIC, 04:08, -3, 0, 3, 0, 1, 130, 42, 12, 9, 4
Flight5, DOMESTIC, 04:27, -1, 0, 1, 0, 3, 114, 49, 16, 6, 6
Flight6, DOMESTIC, 04:31, -7, 0, 7, 0, 7, 90, 49, 8, 2, 9
Flight7, DOMESTIC, 04:58, -10, 0, 10, 0, 4, 101, 45, 9, 8, 2
Flight8, DOMESTIC, 04:09, -2, 0, 2, 0, 3, 143, 26, 24, 2, 5
Flight9, DOMESTIC, 04:03, -9, 0, 9, 0, 2, 73, 28, 20, 3, 9
Flight10, DOMESTIC, 04:45, -8, 0, 8, 0, 4, 107, 36, 9, 3, 5
Flight11, DOMESTIC, 04:50, -8, 0, 8, 0, 2, 132, 30, 15, 9, 3
Flight12, DOMESTIC, 04:40, -6, 0, 6, 0, 5, 74, 25, 12, 5, 1
Flight13, DOMESTIC, 04:51, -5, 0, 5, 0, 6, 120, 27, 15, 2, 8
Flight14, DOMESTIC, 04:52, -2, 0, 2, 0, 7, 79, 36, 6, 6, 3
Flight15, DOMESTIC, 04:04, -7, 0, 7, 0, 4, 63, 27, 24, 2, 4
Flight16, DOMESTIC, 04:31, -4, 0, 4, 0, 4, 74, 39, 11, 8, 4
Flight17, DOMESTIC, 04:38, -6, 0, 6, 0, 8, 63, 25, 24, 9, 5
Flight18, DOMESTIC, 04:31, -4, 0, 4, 0, 8, 65, 42, 12, 1, 7
Flight19, DOMESTIC, 04:58, -2, 0, 2, 0, 9, 72, 42, 23, 4, 3
Flight20, DOMESTIC, 04:57, -3, 0, 3, 0, 6, 112, 37, 11, 4, 3
Flight21, DOMESTIC, 04:50, -5, 0, 5, 0, 1, 121, 44, 20, 9, 4
Flight22, DOMESTIC, 04:10, -3, 0, 3, 0, 5, 85, 37, 12, 9, 2
Flight23, DOMESTIC, 04:50, -4, 0, 4, 0, 5, 139, 29, 20, 8, 2
Flight24, DOMESTIC, 04:05, -8, 0, 8, 0, 5, 79, 27, 13, 7, 9
Flight25, DOMESTIC, 04:50, -6, 0, 6, 0, 7, 55, 46, 16, 6, 2
Flight26, DOMESTIC, 04:38, -6, 0, 6, 0, 8, 50, 47, 21, 2, 3
Flight27, DOMESTIC, 04:41, -10, 0, 10, 0, 2, 68, 40, 14, 8, 8
Flight28, DOMESTIC, 04:46, -5, 0, 5, 0, 3, 142, 27, 15, 7, 6
Flight29, DOMESTIC, 04:09, -7, 0, 7, 0, 6, 73, 30, 21, 4, 9
Flight30, DOMESTIC, 04:32, -2, 0, 2, 0, 6, 78, 25, 20, 8, 8
