Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:54, -9, 0, 9, 0, 2, 135, 36, 16, 7, 2
Flight2, DOMESTIC, 04:08, -6, 0, 6, 0, 3, 93, 25, 7, 1, 9
Flight3, DOMESTIC, 04:46, -5, 0, 5, 0, 4, 124, 47, 12, 2, 1
Flight4, DOMESTIC, 04:47, -7, 0, 7, 0, 6, 110, 28, 10, 8, 2
Flight5, DOMESTIC, 04:09, -9, 0, 9, 0, 4, 52, 26, 5, 9, 4
Flight6, DOMESTIC, 04:04, -4, 0, 4, 0, 2, 60, 39, 14, 8, 4
Flight7, DOMESTIC, 04:55, -9, 0, 9, 0, 1, 116, 45, 24, 1, 8
Flight8, DOMESTIC, 04:36, -3, 0, 3, 0, 1, 112, 49, 19, 6, 7
Flight9, DOMESTIC, 05:00, -4, 0, 4, 0, 6, 129, 28, 5, 5, 4
Flight10, DOMESTIC, 04:26, -2, 0, 2, 0, 4, 85, 28, 17, 5, 5
Flight11, DOMESTIC, 04:10, -9, 0, 9, 0, 2, 98, 26, 18, 5, 7
Flight12, DOMESTIC, 04:18, -7, 0, 7, 0, 6, 60, 40, 5, 6, 7
Flight13, DOMESTIC, 04:51, -3, 0, 3, 0, 3, 145, 41, 12, 1, 4
Flight14, DOMESTIC, 04:36, -6, 0, 6, 0, 6, 120, 49, 14, 9, 6
Flight15, DOMESTIC, 04:05, -3, 0, 3, 0, 6, 105, 27, 14, 9, 1
Flight16, DOMESTIC, 04:21, -3, 0, 3, 0, 1, 124, 30, 5, 1, 7
Flight17, DOMESTIC, 04:54, -4, 0, 4, 0, 6, 101, 26, 8, 7, 3
Flight18, DOMESTIC, 04:22, -6, 0, 6, 0, 1, 78, 37, 20, 4, 6
Flight19, DOMESTIC, 04:23, -9, 0, 9, 0, 6, 68, 35, 10, 8, 4
Flight20, DOMESTIC, 04:09, -4, 0, 4, 0, 4, 125, 48, 14, 3, 7
Flight21, DOMESTIC, 04:12, -4, 0, 4, 0, 6, 64, 47, 19, 2, 3
Flight22, DOMESTIC, 04:52, -4, 0, 4, 0, 2, 120, 39, 5, 9, 2
Flight23, DOMESTIC, 04:22, -2, 0, 2, 0, 8, 102, 33, 20, 1, 4
Flight24, DOMESTIC, 04:20, -2, 0, 2, 0, 6, 137, 34, 21, 6, 8
Flight25, DOMESTIC, 04:13, -9, 0, 9, 0, 3, 148, 27, 21, 3, 2
Flight26, DOMESTIC, 04:28, -6, 0, 6, 0, 8, 65, 31, 11, 6, 7
Flight27, DOMESTIC, 04:52, -5, 0, 5, 0, 5, 108, 34, 20, 5, 9
Flight28, DOMESTIC, 04:16, -2, 0, 2, 0, 1, 93, 41, 17, 9, 6
Flight29, DOMESTIC, 04:13, -1, 0, 1, 0, 6, 144, 42, 7, 6, 5
Flight30, DOMESTIC, 04:06, -6, 0, 6, 0, 1, 76, 47, 14, 3, 2
