Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:55, -5, 0, 5, 0, 9, 93, 30, 11, 8, 5
Flight2, DOMESTIC, 04:58, -5, 0, 5, 0, 7, 80, 39, 7, 5, 2
Flight3, DOMESTIC, 04:20, -1, 0, 1, 0, 5, 123, 28, 6, 3, 2
Flight4, DOMESTIC, 04:06, -3, 0, 3, 0, 9, 116, 42, 19, 1, 5
Flight5, DOMESTIC, 04:47, -2, 0, 2, 0, 4, 97, 30, 10, 2, 1
Flight6, DOMESTIC, 04:07, -4, 0, 4, 0, 3, 130, 43, 19, 8, 2
Flight7, DOMESTIC, 04:50, -6, 0, 6, 0, 9, 63, 32, 8, 7, 8
Flight8, DOMESTIC, 04:50, -1, 0, 1, 0, 2, 134, 30, 23, 1, 2
Flight9, DOMESTIC, 04:10, -4, 0, 4, 0, 4, 58, 32, 5, 7, 8
Flight10, DOMESTIC, 04:04, -10, 0, 10, 0, 4, 89, 41, 24, 6, 6
Flight11, DOMESTIC, 04:13, -2, 0, 2, 0, 9, 57, 49, 5, 5, 8
Flight12, DOMESTIC, 04:05, -9, 0, 9, 0, 7, 70, 45, 17, 7, 6
Flight13, DOMESTIC, 04:31, -6, 0, 6, 0, 4, 54, 41, 6, 9, 2
Flight14, DOMESTIC, 04:31, -3, 0, 3, 0, 6, 119, 32, 9, 5, 3
Flight15, DOMESTIC, 04:18, -9, 0, 9, 0, 9, 66, 42, 13, 9, 3
Flight16, DOMESTIC, 04:27, -6, 0, 6, 0, 8, 78, 33, 21, 9, 3
Flight17, DOMESTIC, 04:35, -8, 0, 8, 0, 7, 136, 43, 19, 1, 9
Flight18, DOMESTIC, 04:44, -5, 0, 5, 0, 7, 147, 43, 7, 1, 8
Flight19, DOMESTIC, 04:08, -6, 0, 6, 0, 9, 69, 28, 18, 8, 7
Flight20, DOMESTIC, 04:13, -3, 0, 3, 0, 7, 65, 47, 10, 2, 8
Flight21, DOMESTIC, 05:00, -2, 0, 2, 0, 6, 110, 28, 5, 6, 4
Flight22, DOMESTIC, 04:21, -3, 0, 3, 0, 2, 148, 33, 8, 2, 5
Flight23, DOMESTIC, 04:22, -3, 0, 3, 0, 8, 91, 45, 20, 9, 5
Flight24, DOMESTIC, 04:48, -1, 0, 1, 0, 5, 149, 30, 15, 5, 5
Flight25, DOMESTIC, 04:41, -6, 0, 6, 0, 5, 104, 48, 17, 2, 8
Flight26, DOMESTIC, 04:59, -7, 0, 7, 0, 5, 98, 47, 16, 2, 5
Flight27, DOMESTIC, 04:56, -4, 0, 4, 0, 2, 71, 33, 12, 7, 7
Flight28, DOMESTIC, 04:45, -8, 0, 8, 0, 9, 93, 36, 16, 2, 3
Flight29, DOMESTIC, 04:06, -5, 0, 5, 0, 1, 52, 37, 13, 6, 2
Flight30, DOMESTIC, 04:49, -4, 0, 4, 0, 1, 95, 36, 24, 4, 7
