Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:54, -7, 0, 7, 0, 3, 131, 41, 16, 6, 8
Flight2, DOMESTIC, 04:13, -7, 0, 7, 0, 5, 75, 29, 21, 5, 9
Flight3, DOMESTIC, 04:24, -9, 0, 9, 0, 4, 132, 47, 20, 4, 9
Flight4, DOMESTIC, 04:31, -1, 0, 1, 0, 4, 131, 38, 23, 2, 1
Flight5, DOMESTIC, 04:00, -9, 0, 9, 0, 6, 77, 27, 20, 6, 3
Flight6, DOMESTIC, 04:51, -7, 0, 7, 0, 1, 121, 37, 16, 5, 3
Flight7, DOMESTIC, 04:50, -9, 0, 9, 0, 7, 130, 43, 7, 1, 1
Flight8, DOMESTIC, 04:36, -7, 0, 7, 0, 8, 110, 41, 7, 9, 8
Flight9, DOMESTIC, 04:31, -5, 0, 5, 0, 4, 82, 46, 14, 3, 2
Flight10, DOMESTIC, 04:33, -6, 0, 6, 0, 7, 76, 40, 23, 5, 2
Flight11, DOMESTIC, 04:58, -10, 0, 10, 0, 6, 135, 29, 13, 7, 9
Flight12, DOMESTIC, 04:47, -9, 0, 9, 0, 6, 59, 27, 24, 3, 6
Flight13, DOMESTIC, 04:11, -1, 0, 1, 0, 3, 66, 46, 15, 1, 1
Flight14, DOMESTIC, 04:32, -5, 0, 5, 0, 2, 129, 44, 12, 8, 9
Flight15, DOMESTIC, 04:07, -4, 0, 4, 0, 7, 72, 37, 5, 5, 5
Flight16, DOMESTIC, 04:19, -9, 0, 9, 0, 5, 120, 45, 11, 8, 8
Flight17, DOMESTIC, 04:58, -1, 0, 1, 0, 2, 90, 39, 15, 7, 1
Flight18, DOMESTIC, 04:33, -5, 0, 5, 0, 1, 134, 35, 7, 9, 9
Flight19, DOMESTIC, 04:26, -9, 0, 9, 0, 1, 53, 27, 9, 5, 8
Flight20, DOMESTIC, 04:02, -8, 0, 8, 0, 7, 60, 43, 24, 2, 5
Flight21, DOMESTIC, 04:07, -6, 0, 6, 0, 8, 64, 46, 23, 3, 4
Flight22, DOMESTIC, 04:12, -5, 0, 5, 0, 2, 131, 32, 12, 4, 9
Flight23, DOMESTIC, 04:14, -4, 0, 4, 0, 3, 73, 33, 23, 4, 7
Flight24, DOMESTIC, 04:14, -6, 0, 6, 0, 8, 65, 38, 24, 4, 7
Flight25, DOMESTIC, 04:47, -5, 0, 5, 0, 3, 140, 46, 15, 1, 8
Flight26, DOMESTIC, 04:02, -4, 0, 4, 0, 4, 112, 36, 23, 2, 4
Flight27, DOMESTIC, 04:35, -5, 0, 5, 0, 6, 75, 26, 12, 1, 4
Flight28, DOMESTIC, 04:11, -8, 0, 8, 0, 7, 65, 34, 9, 8, 8
Flight29, DOMESTIC, 04:02, -6, 0, 6, 0, 7, 133, 31, 18, 8, 4
Flight30, DOMESTIC, 04:05, -6, 0, 6, 0, 2, 74, 27, 18, 1, 6
